ahmedabad,72.35,22.85,72.85,23.35
bengaluru,77.30,12.65,77.90,13.25
chandigarh,76.55,30.50,77.05,30.90
chennai,79.90,12.85,80.40,13.35
delhi,76.75,28.20,77.65,29.10
goa,73.66,14.86,74.23,15.3
hyderabad,78.15,17.10,78.75,17.70
indore,75.50,22.50,76.30,23.30
kolkata,88.05,22.35,88.65,22.95
ludhiana,75.65,30.70,76.05,31.10
mumbai,72.65,18.75,73.45,19.55
patna,84.85,25.40,85.45,25.80
pune,73.65,18.35,74.05,18.75
kampala,32.5,0.21,32.7,0.41
